TreeID,PlotID,site,tree,spp,canopy.class,live.dead,dbh,stems,total.cores,ba.cm,ba.meter.ha,density,notes,Distance,Azimuth
DHA013,DHA,Duke Hardwood,13,LIST,I,LIVE,25.1,1,2,494.8,0.39375625,7.957747155,,12.34,272
DHA014,DHA,Duke Hardwood,14,ACRU,S,LIVE,15.9,1,2,198.6,0.37397929,18.83490451,VAR. TRILOBA,7.17,266
DHA015,DHA,Duke Hardwood,15,QUBI,I,LIVE,24.5,1,2,471.4,0.37515625,7.957747155,,2.82,213
DHA016,DHA,Duke Hardwood,16,OAK,*,DEAD,27.8,1,0,607,0.483025,7.957747155,"no core, rotten @ bottom",6.77,227
DHA017,DHA,Duke Hardwood,17,QUBI,I,LIVE,24.5,1,2,471.4,0.37515625,7.957747155,,8.58,225
DHA018,DHA,Duke Hardwood,18,ULAL,D,LIVE,30.8,1,2,745.1,0.5929,7.957747155,"2x check species, Ulmus?",10.62,226
DHA019,DHA,Duke Hardwood,19,QUBI,I,LIVE,23,1,2,415.5,0.330625,7.957747155,,9.79,182
DHA020,DHA,Duke Hardwood,20,ULAL,I,LIVE,24.2,1,2,460,0.366025,7.957747155,,8.23,157
DHA021,DHA,Duke Hardwood,21,QUBI,I,LIVE,29.7,1,2,692.8,0.55130625,7.957747155,,14.06,152
DHA022,DHA,Duke Hardwood,22,FRAM,I,LIVE,31.7,1,2,789.2,0.62805625,7.957747155,,19.32,164
DHA023,DHA,Duke Hardwood,23,QUBI,C,LIVE,66.4,1,2,3462.8,2.7556,7.957747155,,17.52,136
DHA024,DHA,Duke Hardwood,24,ELM,*,DEAD,22.2,1,2,387.1,0.308025,7.957747155,,19.37,78
DHA025,DHA,Duke Hardwood,25,CAOV,D,LIVE,45.8,1,2,1647.5,1.311025,7.957747155,,19.93,45
DHA026,DHA,Duke Hardwood,26,OAK,*,DEAD,29.4,1,0,678.9,0.540225,7.957747155,no core,16.97,18
DHA027,DHA,Duke Hardwood,27,FRAM,C,LIVE,37.9,1,2,1128.2,0.89775625,7.957747155,,18.95,12
DHA028,DHA,Duke Hardwood,28,QUPH,C,LIVE,45.6,1,2,1633.1,1.2996,7.957747155,,19.89,355
DHA029,DHA,Duke Hardwood,29,QUPH,I,LIVE,33.1,1,2,860.5,0.68475625,7.957747155,,19.9,323
DHA030,DHA,Duke Hardwood,30,ULAL,I,LIVE,30.3,1,2,721.1,0.57380625,7.957747155,,13.89,325
DHA031,DHA,Duke Hardwood,31,QUBI,I,LIVE,34.4,1,2,929.4,0.7396,7.957747155,,14.22,289
DHA032,DHA,Duke Hardwood,32,CAOV,C,LIVE,41.4,1,2,1346.1,1.071225,7.957747155,,16.88,266
DHA033,DHA,Duke Hardwood,33,ACRU,C,LIVE,31,1,2,754.8,0.600625,7.957747155,VAR. TRILOBA,19.92,237
