,ash.20,ash.depth,maple.20,maple.depth,white.20,white.depth,litu.20,litu.depth,red.20,red.depth,fagr.20,fagr.depth,sass.20,sass.depth
1958,1.048401534,9,0.872010207,36,0.931286377,12,1.167329209,15,1.126004309,7,0.708749103,11,,
1959,1.026971348,9,0.355022714,38,0.73910011,12,0.987937526,15,0.921537447,7,0.480462935,11,,
1960,1.057367427,9,0.705122998,38,0.713945335,12,1.116301518,15,0.907735418,7,0.657149093,11,,
1961,0.967964488,9,0.465344968,38,0.743761949,12,0.934932049,15,0.855917398,7,0.474864564,11,,
1962,0.84818281,9,1.222226104,39,0.802650499,12,0.702125859,15,0.742945325,7,0.92544832,11,,
1963,0.892358365,9,1.407909715,39,0.824045146,12,1.109736761,15,0.80391908,7,1.514259667,11,,
1964,1.094201068,9,1.212413934,39,1.033569701,12,0.971695493,15,0.847444711,8,1.206626613,11,,
1965,1.088993101,9,1.464840162,40,1.38018232,12,0.973703841,15,1.201371875,8,1.279991276,11,,
1966,1.130186522,9,1.025173573,41,1.245250884,13,1.003510815,15,1.105785483,8,1.182508219,11,,
1967,0.970955151,9,0.994782248,41,1.160082963,13,0.905257375,15,0.966619204,8,0.988235681,11,1.915693739,1
1968,0.911448058,9,1.04742705,43,1.116115127,13,1.047123721,15,1.209323906,8,1.139500884,11,1.264694336,3
1969,0.930425207,9,0.86377749,44,1.090468216,13,0.982209012,16,1.214149916,8,1.049843635,11,0.992185574,4
1970,0.771819959,9,0.692059313,45,0.80682133,14,0.51078755,16,1.052896869,8,0.777897952,11,0.895189757,5
1971,0.896307984,9,0.787733655,45,0.788315732,14,0.89339055,16,0.932126657,8,0.673362219,11,0.734682422,5
1972,0.66840274,9,0.716019156,45,0.551961528,14,0.731525881,17,0.853982323,8,0.763871282,11,0.638414556,5
1973,0.880097997,9,0.683976797,45,0.701178329,14,1.09471555,18,0.690190002,8,0.643049841,11,0.668855641,5
1974,1.097719571,9,0.979605541,45,0.97362891,14,1.333093687,18,0.657745075,8,0.827310265,11,0.935091176,6
1975,1.281695096,9,1.201712567,45,1.287691888,14,1.227665997,18,1.018622785,8,0.941494477,11,1.121653835,8
1976,1.245386868,9,1.26198771,46,1.324755867,14,1.100832427,18,1.071678562,8,1.142128603,11,1.064713987,9
1977,0.956968461,9,1.016902622,47,1.114651498,14,0.66460918,18,1.152710604,8,1.035043639,11,1.053983388,9
1978,1.034917813,9,1.126222547,48,1.137874069,14,1.017884212,19,1.284873185,8,1.29225475,11,1.032994261,9
1979,0.866124287,9,1.205204623,48,1.023869741,14,0.852167625,20,1.133151109,8,1.267608498,11,1.088944562,10
1980,1.142318026,9,1.126068485,48,0.850875618,14,1.262484366,21,1.033833572,8,1.208894585,11,1.184121328,10
1981,1.042172557,9,1.015711702,48,0.798488399,14,0.971464916,21,0.93084024,8,0.902331292,11,0.997904674,10
1982,1.284253988,9,1.110066965,49,1.269422668,14,1.365093738,21,1.302169371,8,1.052232022,11,1.101737668,10
1983,0.984855283,9,0.776940351,49,0.923882375,14,0.854736402,21,0.944273209,8,0.88142261,11,0.861167695,10
1984,0.850687185,9,0.757327319,49,0.826505218,14,0.4724086,21,0.842193124,8,0.718080899,11,0.878278138,10
1985,0.939509469,9,0.943720641,49,0.957503675,14,0.878685192,21,0.942572305,8,1.096674892,11,0.978351584,11
1986,0.993791578,9,0.843571307,49,0.937336022,14,1.074800726,21,0.849613074,8,0.985962082,11,1.171156491,11
1987,0.895009669,9,0.972743058,49,1.011968734,14,1.382700136,21,0.897264621,8,0.935602314,11,1.134932568,11
1988,0.751175947,9,0.479216984,49,0.803801619,14,0.456971884,21,0.71701388,8,0.525396152,11,0.762134683,11
1989,0.746823534,9,0.85337953,49,0.984972458,14,0.713054628,21,0.859497978,8,0.735870886,11,0.842324381,12
1990,0.826421575,9,0.923895674,49,0.742107572,14,1.211728963,21,0.781980059,8,1.080824627,11,0.814486089,12
1991,0.894994205,9,0.872782532,49,0.867849575,14,0.953418447,21,0.804864997,8,0.949225683,11,0.556052458,12
1992,1.253145821,9,1.699463966,49,1.234003816,14,1.25964597,21,1.278599075,8,1.459523988,11,0.826599018,12
1993,1.433457426,9,1.217502264,49,1.246357368,14,1.582695894,21,1.183826693,8,1.22718582,11,0.967699232,12
1994,0.992292905,9,0.902326962,49,0.932127176,14,0.63991567,21,0.943349989,8,0.752887807,11,0.875054863,12
1995,0.941739094,9,1.158207406,49,1.030305552,14,0.925263351,21,1.01202847,8,1.199596632,11,0.900322802,12
1996,0.991836283,9,0.727618848,49,0.806174831,14,0.717956906,21,0.914725282,8,0.823202676,11,1.008317477,12
1997,0.775879951,9,0.903633357,49,0.854814638,14,0.673687449,21,0.852065754,8,0.94236639,11,1.039847159,12
1998,1.120942063,9,0.932059566,49,1.011365557,14,1.148647282,21,1.316726979,8,0.984690124,11,1.031256935,13
1999,0.889318663,9,0.929656798,49,0.970408781,14,1.082117186,21,0.936124393,8,0.922804015,11,1.057642745,13
2000,0.984036513,9,0.926747205,49,1.005803551,14,0.860368175,21,0.898500849,8,1.024893349,11,1.226585082,13
2001,1.113488734,9,1.13240584,49,1.293039785,14,1.167844244,21,1.106715653,8,1.120265394,11,1.124646324,13
2002,1.066971111,9,0.977017246,49,1.001036563,14,1.026873602,21,0.973730527,8,0.916131598,11,0.942470291,13
2003,0.95953563,9,1.036446839,49,0.863782919,14,0.805882198,21,1.064785202,8,0.950185209,11,1.016774448,13
2004,0.89011475,9,0.792191438,49,0.951239999,14,1.008383144,21,1.003813664,8,0.962335347,11,0.993298894,13
2005,0.898640046,9,1.030289555,49,0.952307205,14,1.025609967,21,0.998086292,8,0.937987252,11,1.046869348,13
2006,1.104165147,9,1.036332358,49,1.119288256,14,1.205776509,21,0.95523891,8,1.040765237,11,0.943136323,13
2007,1.108887753,9,0.802559878,48,0.92290721,14,0.737928595,21,0.894471937,8,0.896248047,11,0.936026178,13
2008,0.868557477,9,1.182081936,47,1.045938878,14,0.919535113,21,1.014721224,8,1.069301058,11,0.916694995,13
2009,0.894967917,9,1.015113879,47,1.053462128,14,1.173287142,21,1.09122587,8,1.03100224,11,0.870704042,13
2010,1.295510597,9,1.111396635,47,1.041320006,14,1.42142016,21,1.006952415,8,1.154977162,11,1.044853518,13
2011,1.095624735,9,0.91062743,46,1.044400789,14,0.994497426,20,1.048973102,8,0.938157338,11,1.013142844,13
2012,0.934169808,9,0.86563777,46,0.867144501,14,0.532529692,20,1.004421313,8,0.976951197,11,0.91504399,13
2013,1.185871815,9,1.01305097,42,1.278121933,14,0.722411682,20,1.325792691,8,1.622396546,11,1.34102441,13
2014,0.4778376,9,0.312388932,11,0.546818822,14,0.117962168,3,0.62289294,8,0.237308823,10,0.505207531,13
