CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
ACC010B,ACC010,ACC,Austin Cary FL,10,PIPA,C,LIVE,27.3,1,2,B,,,,,,,,,,,
ACC011A,ACC011,ACC,Austin Cary FL,11,PIPA,C,LIVE,33.2,1,2,A,,,,,,,,,,,
ACC011B,ACC011,ACC,Austin Cary FL,11,PIPA,C,LIVE,33.2,1,2,B,,,,,,,,,,,
ACC012A,ACC012,ACC,Austin Cary FL,12,PIPA,C,LIVE,33,1,2,A,,,,,,,,,,,
ACC012B,ACC012,ACC,Austin Cary FL,12,PIPA,C,LIVE,33,1,2,B,,,,,,,,,,,
ACC013A,ACC013,ACC,Austin Cary FL,13,PIPA,C,LIVE,46.5,1,2,A,,,,,,,,,,,
ACC013B,ACC013,ACC,Austin Cary FL,13,PIPA,C,LIVE,46.5,1,2,B,,,,,,,,,,,
ACC014A,ACC014,ACC,Austin Cary FL,14,PIPA,C,LIVE,24,1,2,A,,,,,,,,,,,
ACC014B,ACC014,ACC,Austin Cary FL,14,PIPA,C,LIVE,24,1,2,B,,,,,,,,,,,
ACC015A,ACC015,ACC,Austin Cary FL,15,PIPA,C,LIVE,27.3,1,2,A,,,,,,,,,,,
ACC015B,ACC015,ACC,Austin Cary FL,15,PIPA,C,LIVE,27.3,1,2,B,,,,,,,,,,,
ACC016A,ACC016,ACC,Austin Cary FL,16,PIPA,C,LIVE,26.8,1,2,A,,,,,,,,,,,
ACC016B,ACC016,ACC,Austin Cary FL,16,PIPA,C,LIVE,26.8,1,2,B,,,,,,,,,,,
ACC017A,ACC017,ACC,Austin Cary FL,17,PIPA,C,LIVE,29.3,1,2,A,,,,,,,,,,,
ACC017B,ACC017,ACC,Austin Cary FL,17,PIPA,C,LIVE,29.3,1,2,B,,,,,,,,,,,
ACC018A,ACC018,ACC,Austin Cary FL,18,PIPA,C,LIVE,23.3,1,2,A,,,,,,,,,,,
ACC018B,ACC018,ACC,Austin Cary FL,18,PIPA,C,LIVE,23.3,1,2,B,,,,,,,,,,,
ACC019A,ACC019,ACC,Austin Cary FL,19,PIPA,C,LIVE,36.5,1,2,A,,,,,,,,,,,
ACC019B,ACC019,ACC,Austin Cary FL,19,PIPA,C,LIVE,36.5,1,2,B,,,,,,,,,,,
ACC020A,ACC020,ACC,Austin Cary FL,20,PIPA,C,LIVE,33.5,1,2,A,,,,,,,,,,,
ACC020B,ACC020,ACC,Austin Cary FL,20,PIPA,C,LIVE,33.5,1,2,B,,,,,,,,,,,
ACC021A,ACC021,ACC,Austin Cary FL,21,PIPA,C,LIVE,31.8,1,2,A,,,,,,,,,,,
ACC021B,ACC021,ACC,Austin Cary FL,21,PIPA,C,LIVE,31.8,1,2,B,,,,,,,,,,,
ACC022A,ACC022,ACC,Austin Cary FL,22,PIPA,C,LIVE,24.5,1,2,A,,,,,,,,,,,
ACC022B,ACC022,ACC,Austin Cary FL,22,PIPA,C,LIVE,24.5,1,2,B,,,,,,,,,,,
ACC023A,ACC023,ACC,Austin Cary FL,23,PIPA,C,LIVE,26.5,1,2,A,,,,,,,,,,,
ACC023B,ACC023,ACC,Austin Cary FL,23,PIPA,C,LIVE,26.5,1,2,B,,,,,,,,,,,
ACC024A,ACC024,ACC,Austin Cary FL,24,PIPA,C,LIVE,28.1,1,2,A,,,,,,,,,,,
ACC024B,ACC024,ACC,Austin Cary FL,24,PIPA,C,LIVE,28.1,1,2,B,,,,,,,,,,,
ACC025A,ACC025,ACC,Austin Cary FL,25,PIPA,*,DEAD,21.9,1,1,A,,,,,,,,,,,
ACC025A,ACC025,ACC,Austin Cary FL,25,PIPA,*,DEAD,21.9,1,1,A,,,,,,,,,,,
ACC026A,ACC026,ACC,Austin Cary FL,26,PIPA,*,DEAD,24,1,2,A,,,,,,,,,,,
ACC026B,ACC026,ACC,Austin Cary FL,26,PIPA,*,DEAD,24,1,2,B,,,,,,,,,,,
DHA001A,DHA001,DHA,Duke Hardwood,1,QUBI,I,LIVE,15.7,1,2,A,,,,,,,,,,,
DHA001B,DHA001,DHA,Duke Hardwood,1,QUBI,I,LIVE,15.7,1,2,B,,,,,,,,,,,
DHA002A,DHA002,DHA,Duke Hardwood,2,LIST,D,LIVE,17.9,1,2,A,,,,,,,,,,,
DHA002B,DHA002,DHA,Duke Hardwood,2,LIST,D,LIVE,17.9,1,2,B,,,,,,,,,,,
DHA003A,DHA003,DHA,Duke Hardwood,3,QUBI,D,LIVE,59.3,1,2,A,,,,,,,,,,,
DHA003B,DHA003,DHA,Duke Hardwood,3,QUBI,D,LIVE,59.3,1,2,B,,,,,,,,,,,
DHA004A,DHA004,DHA,Duke Hardwood,4,QUPH,D,LIVE,55.5,1,2,A,,,,,,,,,,,
DHA004B,DHA004,DHA,Duke Hardwood,4,QUPH,D,LIVE,55.5,1,2,B,,,,,,,,,,,
DHA005A,DHA005,DHA,Duke Hardwood,5,QUPH,C,LIVE,24.7,1,2,A,,,,,,,,,,,
DHA005B,DHA005,DHA,Duke Hardwood,5,QUPH,C,LIVE,24.7,1,2,B,,,,,,,,,,,
DHA006A,DHA006,DHA,Duke Hardwood,6,QUPH,C,LIVE,43.1,1,2,A,,,,,,,,,,,
DHA006B,DHA006,DHA,Duke Hardwood,6,QUPH,C,LIVE,43.1,1,2,B,,,,,,,,,,,
DHA007A,DHA007,DHA,Duke Hardwood,7,ACRU,I,LIVE,21.3,1,2,A,,,,,,,,,,,
DHA007B,DHA007,DHA,Duke Hardwood,7,ACRU,I,LIVE,21.3,1,2,B,,,,,,,,,,,
