"TreeID","PlotID","site","tree","species","canopy.class","live.dead","dbh","stems","total.cores","BA.cm2","BA.m2.ha","dens.stem.ha","notes","distance","azimuth","plot","Dated"
"DHB035","DHB","Duke Hardwood",35,"QUVE","I","LIVE",26,1,2,530.9,0.4225,7.957747155,"check core for spp",19.2,314,"B",NA
"DHC001","DHC","Duke Hardwood",1,"ULAL","C","LIVE",32.8,1,2,845,0.6724,7.957747155,NA,6.19,89,"C",NA
"DHC002","DHC","Duke Hardwood",2,"QUBI","I","LIVE",16.7,1,2,219,0.412559172,18.83490451,NA,9.07,100,"C",NA
"DHC003","DHC","Duke Hardwood",3,"LIST","C","LIVE",42,1,2,1385.4,1.1025,7.957747155,NA,10.27,80,"C",NA
"DHC004","DHC","Duke Hardwood",4,"CAOV","C","LIVE",41.4,1,2,1346.1,1.071225,7.957747155,NA,10.52,48,"C",NA
"DHC005","DHC","Duke Hardwood",5,"ACRU","C","LIVE",21.9,1,2,376.7,0.29975625,7.957747155,"VAR. TRILOBA",10.3,15,"C",NA
"DHC006","DHC","Duke Hardwood",6,"RED OAK",NA,"DEAD",47,1,0,1734.9,1.380625,7.957747155,"ROTTEN, NO CORE",6.77,11,"C",NA
"DHC007","DHC","Duke Hardwood",7,"QUBI","I","LIVE",29.3,1,2,674.3,0.53655625,7.957747155,NA,12.52,356,"C",NA
"DHC008","DHC","Duke Hardwood",8,"QUBI","I","LIVE",16.2,1,2,206.1,0.388224852,18.83490451,NA,12.5,348,"C",NA
"DHC009","DHC","Duke Hardwood",9,"NYSY","I","LIVE",24.4,1,2,467.6,0.3721,7.957747155,NA,1.63,337,"C",NA
"DHC010","DHC","Duke Hardwood",10,"LIST",NA,"DEAD",19.4,1,0,295.6,0.556745562,18.83490451,"ROTTEN, NO CORE",9.49,271,"C",NA
"DHC011","DHC","Duke Hardwood",11,"QUBI","C","LIVE",80.4,1,2,5076.9,4.0401,7.957747155,NA,5.18,210,"C",NA
"DHC012","DHC","Duke Hardwood",12,"ULMUS",NA,"DEAD",22.8,1,2,408.3,0.3249,7.957747155,NA,12.53,203,"C",NA
"DHC013","DHC","Duke Hardwood",13,"CAOV","S","LIVE",15.6,1,2,191.1,0.36,18.83490451,NA,127.74,196,"C",NA
"DHC014","DHC","Duke Hardwood",14,"ULAL","I","LIVE",26,1,2,530.9,0.4225,7.957747155,NA,8.03,156,"C",NA
"DHC015","DHC","Duke Hardwood",15,"CAOV","C","LIVE",37.7,1,2,1116.3,0.88830625,7.957747155,NA,9.34,134,"C",NA
"DHC016","DHC","Duke Hardwood",16,"CAOV","C","LIVE",60.3,1,2,2855.8,2.27255625,7.957747155,NA,9.52,124,"C",NA
"DHC017","DHC","Duke Hardwood",17,"LIST","I","LIVE",25.3,1,2,502.7,0.40005625,7.957747155,NA,14.05,111,"C",NA
"DHC018","DHC","Duke Hardwood",18,"ULAL","C","LIVE",24.8,1,2,483.1,0.3844,7.957747155,NA,13.98,101,"C",NA
"DHC019","DHC","Duke Hardwood",19,"LITU","C","LIVE",28.9,1,2,656,0.52200625,7.957747155,NA,18.25,90,"C",NA
